iter	RMSE
0	594.7490548
1	552.7879873
2	521.032655
3	490.1323653
4	462.697307
5	437.0385031
6	419.000101
7	396.0260966
8	380.5945738
9	363.6648829
10	348.9368756
11	334.042344
12	320.0727994
13	308.9849501
14	299.5425654
15	289.5116537
16	281.3672631
17	275.8543347
18	269.455098
19	262.1243358
20	255.2410301
21	249.9406073
22	245.4133486
23	241.1714656
24	236.9695179
25	232.5107316
26	228.8419478
27	225.3793144
28	222.1456222
29	220.4064019
30	217.8911867
31	215.3057129
32	213.2681959
33	211.2516791
34	209.7146388
35	208.3316891
36	206.6519106
37	205.361902
38	203.8992771
39	202.4260157
40	200.9408932
41	199.8104769
42	199.1123837
43	197.9332055
44	196.9605043
45	196.2394459
46	195.5750691
47	194.4917178
48	193.5519049
49	192.2630999
50	191.2727662
51	190.3794069
52	189.3140926
53	188.6250229
54	187.7107255
55	186.7488433
56	185.8700772
57	185.0284727
58	184.3762249
59	183.9142133
60	183.2236523
61	182.3654975
62	181.411145
63	181.0019517
64	180.3873501
65	179.8231172
66	179.1181131
67	178.2625124
68	177.663291
69	177.098467
70	176.4167885
71	175.9992511
72	175.731458
73	175.0822209
74	174.4469085
75	173.3521592
76	172.6890154
77	171.8958986
78	171.3402944
79	170.8574597
80	169.9431958
81	168.871747
82	168.2449544
83	167.5250522
84	166.91889
85	166.3011236
86	165.8920805
87	165.1159208
88	164.6146481
89	163.882938
90	163.5321538
91	163.2449766
92	162.0876408
93	161.4733195
94	161.0649489
95	160.3120854
96	159.7123236
97	158.8566169
98	158.2570499
99	158.0272114
